PRICE_0,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,SMA_64,SMA_128,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,EMA_64,EMA_128,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,DEMA_64,DEMA_128,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,TEMA_64,TEMA_128,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,RSL_64,RSL_128,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32,SPL_64,SPL_128
31580,32889.28,33898.0325,36256.56125,38315.18438,38251.75531,34997.115,,36821.9586,36821.92461,36820.79854,36755.65956,36643.75198,34997.115,,38862.00132,38862.16706,38863.8969,38889.44948,38764.69208,34997.115,,38986.90035,38986.68899,38989.19673,39141.37441,39191.70359,34997.115,,34198.56,35438.23,39671.81,40978.57,41286.67,41286.67,,31580,31580,31580,31580,31580,29029.04,
32254.62,31917.31,33102.13,35390.66875,37817.87375,38168.50813,35043.61844,,36681.4251,36681.39216,36680.30074,36617.16604,36508.70176,34912.73054,,38522.48789,38522.64955,38524.35974,38551.06869,38433.48735,34830.94252,,38450.6864,38450.47759,38452.88913,38601.50521,38657.24105,34751.67106,,32254.62,34375.34,39671.81,40978.57,41286.67,41286.67,,31580,31580,31580,31580,31580,29029.04,
35404.47,33829.545,33359.4125,34857.25125,37553.24,38194.70438,35142.23781,,36642.72949,36642.69755,36641.63921,36580.41767,36475.24019,34927.63173,,38390.47949,38390.63721,38392.32765,38420.08244,38309.25136,34862.77179,,38230.36866,38230.16236,38232.48167,38377.60838,38438.20097,34802.31759,,35404.47,35404.47,38150.02,40978.57,41286.67,41286.67,,32254.62,31580,31580,31580,31580,29029.04,
34984.96,35194.715,33556.0125,34548.275,37204.43937,38199.96188,35230.85453,,36593.24384,36593.21285,36592.18609,36532.79207,36430.75422,34929.34303,,38240.81372,38240.96766,38242.63829,38271.33753,38166.86075,34868.0794,,37988.29265,37988.08884,37990.3197,38132.03053,38196.979,34812.91878,,35404.47,35404.47,38150.02,40978.57,41286.67,41286.67,,34984.96,31580,31580,31580,31580,29029.04,
36413.6,35699.28,34764.4125,34331.2225,36947.4675,38188.84438,35343.74406,,36587.9602,36587.93012,36586.93356,36529.28642,36430.24968,34972.99764,,38181.9439,38182.09419,38183.745,38213.29565,38114.80456,34955.90655,,37884.83981,37884.63846,37886.78446,38025.15369,38094.00155,34945.24163,,36413.6,36413.6,36413.6,40978.57,41286.67,41286.67,,34984.96,32254.62,31580,31580,31580,29029.04,
35410.99,35912.295,35553.505,34327.8175,36619.035,38124.98531,35443.46203,,36553.84512,36553.81591,36552.84824,36496.87203,36400.70592,34985.69307,,38068.50016,38068.64694,38070.27795,38100.59455,38007.7457,34981.42482,,37702.9785,37702.77958,37704.84415,37839.94643,37912.2774,34983.5202,,36413.6,36413.6,36413.6,40978.57,41286.67,41286.67,,35410.99,34984.96,31580,31580,31580,29331.69,
33829.4,34620.195,35159.7375,34259.575,36227.85875,38030.28375,35513.73875,,36476.00383,36475.97546,36475.03543,36420.65854,36327.24004,34952.65613,,37871.76576,37871.90916,37873.52042,37904.52447,37816.99754,34916.41679,,37401.19141,37400.99489,37402.98129,37534.89131,37610.32555,34887.39468,,35410.99,36413.6,36413.6,40978.57,41286.67,41286.67,,33829.4,33829.4,31580,31580,31580,29351.95,
34685.11,34257.255,35084.775,34320.39375,35875.88813,37932.25313,35597.06938,,36425.55611,36425.52854,36424.615,36371.76985,36280.98286,34945.11962,,37732.97416,37733.11429,37734.7059,37766.32519,37683.82119,34902.5769,,37189.8001,37189.60594,37191.51729,37320.30944,37398.50021,34868.24648,,34685.11,36413.6,36413.6,40978.57,41286.67,41286.67,,33829.4,33829.4,31580,31580,31580,29750,
34051.24,34368.175,34494.185,34629.29875,35442.93,37778.52875,35664.27625,,36359.60289,36359.57608,36358.68792,36307.31069,36219.04555,34920.28963,,37566.58257,37566.71956,37568.29163,37600.45975,37522.69933,34854.78838,,36940.84828,36940.65645,36942.49571,37068.24389,37148.87451,34799.0908,,34685.11,35410.99,36413.6,39671.81,41286.67,41286.67,,34051.24,33829.4,32254.62,31580,31580,29755,
33818.5,33934.87,34096.0625,34824.78375,35107.72625,37614.66938,35727.76844,,36289.98363,36289.95756,36289.09373,36239.1241,36153.27718,34890.10361,,37396.1835,37396.31745,37397.87011,37430.52594,37357.24792,34797.03792,,36689.57388,36689.38435,36691.15435,36813.93172,36896.71288,34716.05704,,34051.24,34685.11,36413.6,39671.81,41286.67,41286.67,,33818.5,33818.5,33818.5,31580,31580,30743.06,
34986.9,34402.7,34385.4375,34772.5875,34814.91938,37475.75125,35779.26234,,36254.76516,36254.73979,36253.8993,36205.2802,36121.75347,34892.71973,,37296.8011,37296.93212,37298.46553,37331.55281,37262.51275,34804.71474,,36546.85929,36546.67202,36548.37545,36668.2543,36752.92155,34730.84645,,34986.9,34986.9,36413.6,38150.02,41286.67,41286.67,,33818.5,33818.5,33818.5,31580,31580,30743.06,
34385.48,34686.19,34310.53,34697.6525,34622.96375,37351.95062,35800.48547,,36204.91755,36204.89286,36204.07479,36156.7522,36075.45285,34879.19334,,37170.64754,37170.77572,37172.29006,37205.75694,37140.72593,34780.36945,,36366.43304,36366.24801,36367.88745,36484.93901,36571.25061,34697.94061,,34986.9,34986.9,36413.6,38150.02,41286.67,41286.67,,34385.48,33818.5,33818.5,31580,31580,30743.06,
